# Traits in Affinity,weapon,# Traits,body,rune,% Traits in Affinity,Affinity,background,head,companion,shield,token_id,numTraits,image,name
2,,3,Zuli Suit,,66 percent,Grey,Black,Lady of the Mountain,,Wooden Buckler,257,8,https://portal.forgottenrunes.com/api/warriors/img/257,Aurelia Carver of the Ruins
3,Spiked Ball bat,6,Exalted Epic Gear,Rune of Earth,50 percent,Crimson,Blue,Gladiator Helmet,Robo Dog,Red Aspis,258,11,https://portal.forgottenrunes.com/api/warriors/img/258,Rapidus Jackhammer of the Valley
3,Amaryllis Fey Sword,5,Commando Fatigues,Rune of Steel,60 percent,Verdant,Green,Strongman,Attack Drone,,259,10,https://portal.forgottenrunes.com/api/warriors/img/259,Chevy Cutter of Snakes
4,Agapanthus Fey Sword,6,Nord Armor,Rune of Fire,66 percent,Blue Shift,Blue,Lady Barbarian,Ultramarine Rhinoceros Beetle,Water Elemental Shield,260,11,https://portal.forgottenrunes.com/api/warriors/img/260,Rachel Conqueror of the Riverlands
5,Bottle of Rune Beer,6,Banded Armor of the Forest,Rune of Mercury,83 percent,Brute,Black,Cool Guy,Night Wolf,Tomb Shield,261,11,https://portal.forgottenrunes.com/api/warriors/img/261,Romney of the Wild
3,Estoc,6,Xanthous Paladin Gear,Rune of Jupiter,50 percent,Knight,Green,Mescaline Warrior,Wild Eagle,Blue Buckler,262,11,https://portal.forgottenrunes.com/api/warriors/img/262,Garrison Impaler of Dragons
3,Longbow,6,Xanthous Paladin Gear,Rune of Venus,50 percent,Medieval,Green,Green Knight Helm,Northern Lynx,Gold Herald Shield,263,11,https://portal.forgottenrunes.com/api/warriors/img/263,Edwin Ass Kicker of the West
2,Purple Longsword,5,Pirate Garb,Rune of Cinnabar,40 percent,Forest,Black,Woodlander,,Red Kite,264,10,https://portal.forgottenrunes.com/api/warriors/img/264,Adira Lacerator of the Salt
3,Spiked Ball and Chain,6,Green Provocator Garb,Rune of Air,50 percent,Heavy,Green,Visor Knight,Rattlesnake,Bolt Shield,265,11,https://portal.forgottenrunes.com/api/warriors/img/265,Falcon Striker of the Valley
3,Tuck,5,Street Punk with Brown Camo,Rune of Mars,60 percent,Gold,Green,Spiked Helm,Dirt Pig,,266,10,https://portal.forgottenrunes.com/api/warriors/img/266,Diabolos Dodger of Wizards
2,Firebrand,5,Street Punk with Brown Camo,Rune of Sigma,40 percent,Verdant,Green,Gold Dwarven Helm,Onyx Panther,,267,10,https://portal.forgottenrunes.com/api/warriors/img/267,Boarhead Ruin of Goblin Town
5,Sol Sword,6,Traveller's Cloak Blue,Rune of Steel,83 percent,Blue Shift,Blue,Shutter Knight,Attack Drone,Blue Kite,268,11,https://portal.forgottenrunes.com/api/warriors/img/268,Aldokeg Hacker of the Rock
3,West Side Pipe Wrench,6,Purple Macho Pants,Rune of Water,50 percent,Blackness,Black,Action Man,Night Wolf,Wolf Shield,269,11,https://portal.forgottenrunes.com/api/warriors/img/269,Sid Vanquisher of the Ruins
3,Bottle of Rune Beer,6,Red Amazonian Jumpsuit,Rune of Air,50 percent,Gold,Black,Abyssinian,Golden Jaguar,Infinity Shield,270,11,https://portal.forgottenrunes.com/api/warriors/img/270,Zalika of Kobolds
4,Pantheon Spear,6,Athenian Robe,Rune of Steel,66 percent,Pantheon,Black,Valkyrie,Old World Mandrill,Eternal Love Shield,271,11,https://portal.forgottenrunes.com/api/warriors/img/271,Leila Defeater of Glory
4,Stratiotai Spear,4,Gallus Gear,,100 percent,Gladiator,Black,Forgotten Man,,Brown Kite,272,9,https://portal.forgottenrunes.com/api/warriors/img/272,Arnie Savior of the Pavillion
3,Jungle Boomerang,5,Red Boxing Shorts,Rune of Saturn,60 percent,Verdant,Green,Zimbala,Mutant Snapping Turtle,,273,10,https://portal.forgottenrunes.com/api/warriors/img/273,Blaze Hero of the Ring
3,Battle Axe,5,Zuli Suit,Rune of Jupiter,60 percent,Gladiator,Black,Corsair,,Frog Shield,274,10,https://portal.forgottenrunes.com/api/warriors/img/274,Zoe Cataclysm of the Cockatrice
3,Longbow,5,Bone Warrior,Rune of Earth,60 percent,Rugged,Blue,Psyche Warrior,,Red Aspis,275,10,https://portal.forgottenrunes.com/api/warriors/img/275,Marie Dispatcher of the Ruins
3,Bo Staff,6,Green Provocator Garb,Rune of Jupiter,50 percent,Brute,Green,Blonde Bearded Berserker,Robo Dog,Shield of the Sun,276,11,https://portal.forgottenrunes.com/api/warriors/img/276,Manuel Blaster of the Ruins
3,Sword of Babylon,6,Nord Armor,Rune of Air,50 percent,Knight,Blue,Hibernian,Rattlesnake,Green Buckler,277,11,https://portal.forgottenrunes.com/api/warriors/img/277,Sandra Cataclysm of the Dawn
3,Malachite Cleaver,6,Green Amazonian Jumpsuit,Rune of Brimstone,50 percent,Rugged,Green,Forgotten Lady,Rattlesnake,Horseshoe Shield,278,11,https://portal.forgottenrunes.com/api/warriors/img/278,Wilda Guillotiner of the Cockatrice
3,Gladiator Sword,6,Blue Knight,Rune of Sun,50 percent,Desert,Blue,Ishkuzai,Ultramarine Rhinoceros Beetle,Water Elemental Shield,279,11,https://portal.forgottenrunes.com/api/warriors/img/279,Marcheline Attacker of Shadows
3,Rapier,5,White Dominatrix Gear,Rune of Water,60 percent,Feminine,Black,Styxian,Gigas Hornet,,280,10,https://portal.forgottenrunes.com/api/warriors/img/280,Tisa Marauder of Rainbows
5,Tyrfing,6,Red Macho Pants,Rune of Sun,83 percent,Purple Haze,Purple,Jungle Commando,Orchid Rhinoceros Beetle,Triple Triangle Shield,281,11,https://portal.forgottenrunes.com/api/warriors/img/281,Maddox Antagonist of the Savannah
5,Brown Longsword,6,Armor of Earth,Rune of Neptune,83 percent,Brownish,Green,Thrall Ruffian,Buffkin,Brown Kite,282,11,https://portal.forgottenrunes.com/api/warriors/img/282,Bruiser Disintegrator of Devils
3,Wooden Hammer,5,Street Hoodlum,Rune of Sun,60 percent,Blue Shift,Blue,Visor Knight,Wild Eagle,,283,10,https://portal.forgottenrunes.com/api/warriors/img/283,Arnie Smasher of Goblin Town
3,Malachite Dragon Pike,6,Green Provocator Garb,Rune of Water,50 percent,Verdant,Green,Strongman,Dirt Pig,Triple Triangle Shield,284,11,https://portal.forgottenrunes.com/api/warriors/img/284,Barad Paragon of the Baobabs
4,Morningstar,6,Blue Hedge Knight Armor,Rune of Brimstone,66 percent,Armor,Blue,Jarl Raider,Gigas Hornet,Shield of Up Only,285,11,https://portal.forgottenrunes.com/api/warriors/img/285,Valentino Slaughterer of Honor
3,Blue Longsword,6,Purple Tunic Armor,Rune of Sun,50 percent,Blue Shift,Blue,Bruiser,Nastyass Honey Badger,Water Elemental Shield,286,11,https://portal.forgottenrunes.com/api/warriors/img/286,Brock Dispatcher of Brigands
4,Gladiator Sword,6,Blue Hedge Knight Armor,Rune of Brass,66 percent,Armor,Blue,Brownlander,Robo Dog,Triple Triangle Shield,287,11,https://portal.forgottenrunes.com/api/warriors/img/287,Titus Chopper of the Realm
5,Golden Sword,6,Sovereign Epic Gear,Rune of Cinnabar,83 percent,Gold,Black,Akkadian,Golden Jaguar,Snake Shield,288,11,https://portal.forgottenrunes.com/api/warriors/img/288,Urhamsi Antagonist of Bugbears
5,Jungle Boomerang,6,Red Ronin Armor,Rune of Up,83 percent,Blue Shift,Blue,Bruiser,Royal Razorback,Blue Kite,289,11,https://portal.forgottenrunes.com/api/warriors/img/289,Rockefeller Lightbearer of Dragons
4,Spiked Ball and Chain,6,Goblin Raider,Rune of Jupiter,66 percent,Brute,Blue,Capped Goblin,Gigas Hornet,Green Aspis,290,11,https://portal.forgottenrunes.com/api/warriors/img/290,Orga Hammer of the Caves
4,Lavender Double Blade,6,Xanthous Paladin Gear,Rune of Air,66 percent,Knight,Black,Wrestler Giant,Onyx Panther,Wooden Buckler,291,11,https://portal.forgottenrunes.com/api/warriors/img/291,Rockefeller Slaughterer of Nothing
4,Blue Broadsword,5,Yellow Provocator Garb,Rune of Saturn,80 percent,Blue Shift,Blue,Jarl Raider,,Blue Kite,292,10,https://portal.forgottenrunes.com/api/warriors/img/292,Dash Savior of the Arena
2,Estoc,4,Argyropoeia Bot,Rune of Venus,50 percent,Cyber,Blue,Metabot,,,293,9,https://portal.forgottenrunes.com/api/warriors/img/293,U.V. Guardian of Magic
4,Dane Axe,5,Street Punk Kobold,Rune of Air,80 percent,Wild,Black,Wild Kobold,Woodland Wolverine,,294,10,https://portal.forgottenrunes.com/api/warriors/img/294,Toka Stabber of the Crossroad
4,Lazurite Dragon Sword,5,Business Suit,Rune of Jupiter,80 percent,Crimson,Red,Blue Knight Helm,Demon Hound,,295,10,https://portal.forgottenrunes.com/api/warriors/img/295,Guy Conqueror of the Citadel
2,Goblin Axe,4,Murmillo Gear,,50 percent,Axe,Blue,Jungle Commando,,Frog Shield,296,9,https://portal.forgottenrunes.com/api/warriors/img/296,Homer Assailant of the Desert
3,Journeyman Falchion,5,Purple Hedge Knight Armor,Rune of Pluto,60 percent,Medieval,Blue,Foot Soldier Helm,,Snake Shield,297,10,https://portal.forgottenrunes.com/api/warriors/img/297,Quinton Champion of the Mountain
5,Estoc,6,Purple Hedge Knight Armor,Rune of Steel,83 percent,Armor,Black,Forgotten Man,Northern Lynx,Magic Shield,298,11,https://portal.forgottenrunes.com/api/warriors/img/298,Ulysses Swashbuckler of Destiny
4,Red Shortsword,4,Glory Knight,,100 percent,Knight,Black,Forgotten Man,,Might Shield,299,9,https://portal.forgottenrunes.com/api/warriors/img/299,Scott Dispatcher of Giants
4,Blue Longsword,5,Street Punk with Teal Camo,Rune of Mercury,80 percent,Muscle,Black,Forgotten Lady,Onyx Panther,,300,10,https://portal.forgottenrunes.com/api/warriors/img/300,Omolara Scissor of the Road
2,Blue Shortsword,3,North Island MMA Pants,,66 percent,Medieval,Black,Templar,,,301,8,https://portal.forgottenrunes.com/api/warriors/img/301,Roger Calamity of the Good Luck Squad
3,Purple Longsword,6,Iron Knight of the Heath,Rune of Earth,50 percent,Amber,Blue,Meriotic Warrior,Dirt Pig,Triple Triangle Shield,302,11,https://portal.forgottenrunes.com/api/warriors/img/302,Adisa Striker of the Wood
2,Goblin Axe,4,Glory Knight,,50 percent,Darkness,Blue,Dune Man,,Iron Buckler,303,9,https://portal.forgottenrunes.com/api/warriors/img/303,Matteo Rival of the Trail
3,Goblin Axe,4,Battle Sari,,75 percent,Crimson,Blue,Moorish Girl,,Red Aspis,304,9,https://portal.forgottenrunes.com/api/warriors/img/304,Jules Eliminator of the Lost City
4,Blue Longsword,6,Yellow Amazonian Jumpsuit,Rune of Steel,66 percent,Blue Shift,Blue,Corsair,Gigas Hornet,Blue Buckler,305,11,https://portal.forgottenrunes.com/api/warriors/img/305,Pari Guardian of Rogues
3,Mace,4,Fur Barbarian,,75 percent,Heavy,Blue,East Sider,,Green Aspis,306,9,https://portal.forgottenrunes.com/api/warriors/img/306,Luther Clobberer of the Lost City
3,Rapier,5,Gladiator's Cloak with Leather Briefs,Rune of Sun,60 percent,Armor,Blue,Metabot,,Tate Shield,307,10,https://portal.forgottenrunes.com/api/warriors/img/307,Jupiter Guardian of the Desert
4,Iron Hammer,4,Purple Provocator Garb,,100 percent,Gladiator,Blue,Akkadian,,Snake Shield,308,9,https://portal.forgottenrunes.com/api/warriors/img/308,Uri Lumper of the Pavillion
5,Red Longsword,6,Divine Battle Garment,Rune of Lime,83 percent,Crimson,Red,Flower of the Wheel,Gigas Hornet,Tate Shield,309,11,https://portal.forgottenrunes.com/api/warriors/img/309,Alani Sword of the Temple
3,Partisan,6,White Tunic Armor,Rune of Brass,50 percent,Armor,Black,Stunt Man,Dirt Pig,Iron Buckler,310,11,https://portal.forgottenrunes.com/api/warriors/img/310,Draxon Protector of the South
2,Sai,6,Goblin Toga,Rune of Brass,33 percent,Goblin,Green,Goblin,Spectacled Falcon,Shield of the Sun,311,11,https://portal.forgottenrunes.com/api/warriors/img/311,Glubb Peacemaker of the Worms
5,Master Claymore,5,Gold Lamellar,Rune of Brass,100 percent,Armor,Blue,Horse Head,,Green Aspis,312,10,https://portal.forgottenrunes.com/api/warriors/img/312,Milo Piercer of the Jungle
3,Journeyman Falchion,4,Divine Battle Garment,,75 percent,Knight,Blue,Moorish Girl,,Gold Herald Shield,313,9,https://portal.forgottenrunes.com/api/warriors/img/313,Gabriela Slayer of the Sun
2,Red Shortsword,4,Argyropoeia Bot,Rune of Earth,50 percent,Cyber,Blue,BucketHead: Atomic 79,,,314,9,https://portal.forgottenrunes.com/api/warriors/img/314,Omega Hero of the Quantum Downs
4,Blue Chainsaw,6,Kobold Grunt Gear,Rune of Omega,66 percent,Brute,Black,Kobold Captain,Black Goat,Green Kite,315,11,https://portal.forgottenrunes.com/api/warriors/img/315,Skeet Hacker of the Road
3,Wratchet,6,Traveller's Cloak Yellow,Rune of Fire,50 percent,Crimson,Black,Weirdling,Gigas Hornet,Tate Shield,316,11,https://portal.forgottenrunes.com/api/warriors/img/316,Wolfgang Smasher of Mount Titan
5,Plains Boomerang,5,Purple Valkyrie Armor,,100 percent,Purple Haze,Purple,Corsair,Orchid Rhinoceros Beetle,White Holy Shield,317,10,https://portal.forgottenrunes.com/api/warriors/img/317,Frida Traveler of the Clouds
3,Shortbow,6,Green One Piece,Rune of Steel,50 percent,Verdant,Green,Summer Warrior,Northern Lynx,Gold Herald Shield,318,11,https://portal.forgottenrunes.com/api/warriors/img/318,Arlene Vagabond of the Guild
4,Wooden Hammer,6,Aura Knight with Blue Cloak,Rune of Steel,66 percent,Knight,Black,Green Knight Helm,Field Hound,Shield of Up Only,319,11,https://portal.forgottenrunes.com/api/warriors/img/319,Edmund Hammer of the East
4,Malachite Cleaver,6,Green Amazonian Jumpsuit,Rune of Mercury,66 percent,Verdant,Green,Kempo,Null Goat,Green Kite,320,11,https://portal.forgottenrunes.com/api/warriors/img/320,Hua Apocalypse of Shadows
2,Partisan,3,Purple Road Warrior,,66 percent,Spike,Black,Purple Viking Helm,,,321,8,https://portal.forgottenrunes.com/api/warriors/img/321,Gruzzon Guardian of Goblin Town
2,Skull Sword,6,Aura Knight with Yellow Cloak,Rune of Lime,33 percent,Grey,Black,Scout,Robo Dog,Wolf Shield,322,11,https://portal.forgottenrunes.com/api/warriors/img/322,John Wounder of Monsters
4,Katana,5,Classic Leather Barbarian Briefs,Rune of Uranus,80 percent,Gold,Blue,Akkadian,,Red Aspis,323,10,https://portal.forgottenrunes.com/api/warriors/img/323,Alam Sword of the Cockatrice
3,Lavender Double Blade,5,Street Punk with Red Camo,Rune of Brimstone,60 percent,Darkness,Black,Cyber Marauder,Dirt Pig,,324,10,https://portal.forgottenrunes.com/api/warriors/img/324,Krull Contender of the Alley
3,Wratchet,6,White One Piece,Rune of Venus,50 percent,Grey,Blue,Moorish Girl,Hamadryas Baboon,Tomb Shield,325,11,https://portal.forgottenrunes.com/api/warriors/img/325,Adele Annihilator of the Mountain
3,Amaryllis Fey Sword,5,Purple Wrestling Singlet,Rune of Up,60 percent,MMMA,Purple,Shaolin,Field Hound,,326,10,https://portal.forgottenrunes.com/api/warriors/img/326,Hades Combatant the Rune Raiders
3,Brown Longsword,4,White One Piece,,75 percent,Guard,Black,Moorish Girl,,Green Aspis,327,9,https://portal.forgottenrunes.com/api/warriors/img/327,Bernadette Cleaver of Destiny
3,,3,Tower Plate Armor,,100 percent,White Magic,Black,Polar Man,,White Kite,328,8,https://portal.forgottenrunes.com/api/warriors/img/328,Lex Wounder of Snakes
3,Mug of Ale,6,Gallus Gear,Rune of Saturn,50 percent,Heavy,Black,Praetorian,Golden Jaguar,Shield of Up Only,329,11,https://portal.forgottenrunes.com/api/warriors/img/329,Acidus of the Duck Alliance
3,Mug of Ale,6,Banded Armor of the Forest,Rune of Venus,50 percent,Rugged,Green,Earth Guard,Spectacled Falcon,Frog Shield,330,11,https://portal.forgottenrunes.com/api/warriors/img/330,Titan of the Guild
4,Ranseur,6,Murmillo Gear,Rune of Brimstone,66 percent,Darkness,Black,Grappler Giant,Onyx Panther,Wolf Shield,331,11,https://portal.forgottenrunes.com/api/warriors/img/331,Jimbo Guardian of the Lost City
3,Giant Cleaver,5,Majestic Epic Gear,,60 percent,Medieval,Green,Green Knight Helm,Northern Lynx,Snake Shield,332,10,https://portal.forgottenrunes.com/api/warriors/img/332,Edward Chopper of the Ruins
2,Apollo's Bow,3,Athenian Robe,,66 percent,Forest,Green,Woodlander,,,333,8,https://portal.forgottenrunes.com/api/warriors/img/333,Atalanta
5,Malachite Cleaver,6,Traveller's Cloak Red,Rune of Omega,83 percent,Verdant,Green,Gold Dwarven Helm,Grassland Ceratopsian,Lotus Shield,334,11,https://portal.forgottenrunes.com/api/warriors/img/334,Wuri Trimmer of the Coliseum
2,Longbow,5,Gallus Gear,Rune of Saturn,40 percent,Viking,Black,Purple Viking Helm,,Tomb Shield,335,10,https://portal.forgottenrunes.com/api/warriors/img/335,Vommbar Deadeye of the Rune Raiders
4,Red Shortsword,5,Gladiator's Cloak with Olive Briefs,Rune of Brass,80 percent,Armor,Blue,Legionnaire Helmet,,Iron Buckler,336,10,https://portal.forgottenrunes.com/api/warriors/img/336,Atrox Ravager of the Valley
2,White Longsword,4,Red Suit,Rune of Brimstone,50 percent,Heavy,Black,Wrestler Giant,,,337,9,https://portal.forgottenrunes.com/api/warriors/img/337,Mitch Assailant of Titans
4,Jungle Boomerang,6,Iron Knight of the Heath,Rune of Mars,66 percent,Blue Shift,Blue,Shutter Knight,Field Hound,Blue Kite,338,11,https://portal.forgottenrunes.com/api/warriors/img/338,Rudolph Monk of all that is Evil
3,Lazurite Dragon Sword,6,Surd Armor,Rune of Cinnabar,50 percent,Guard,Green,Kempo,Aurelian Rhinoceros Beetle,Green Kite,339,11,https://portal.forgottenrunes.com/api/warriors/img/339,Wu Assaulter of Snakes
3,Iron Hammer,5,Gladiator's Cloak with Olive Briefs,Rune of Pluto,60 percent,Heavy,Black,Highlander,,Shield of the Moon,340,10,https://portal.forgottenrunes.com/api/warriors/img/340,Bronn Jackhammer of Bugbears
3,Malachite Cleaver,5,Nord Armor,Rune of Venus,60 percent,Amber,Green,Onna-Musha,,Green Aspis,341,10,https://portal.forgottenrunes.com/api/warriors/img/341,Lin Mercenary of Warlocks
3,Red Bomb,5,Street Punk with Green Camo,Rune of Mars,60 percent,Darkness,Green,Green Knight Helm,Golden Jaguar,,342,10,https://portal.forgottenrunes.com/api/warriors/img/342,Henry Leveler of the Street
4,Red Broadsword,6,Green Amazonian Jumpsuit,Rune of Mars,66 percent,Verdant,Green,Kempo,Golden Jaguar,Green Kite,343,11,https://portal.forgottenrunes.com/api/warriors/img/343,Tai Slicer of the Wild
3,Journeyman Falchion,6,Amethyst Spike Armor,Rune of Mercury,50 percent,Spike,Black,Purple Dwarven Helm,Silver Goat,Gold Herald Shield,344,11,https://portal.forgottenrunes.com/api/warriors/img/344,Wuri Wounder of the Sun
3,Malachite Cleaver,6,Gladiator's Cloak with Green Briefs,Rune of Uranus,50 percent,Verdant,Green,Mescaline Warrior,Hyena,Kraken Shield,345,11,https://portal.forgottenrunes.com/api/warriors/img/345,Donley Hellraiser of the Ruins
4,Cyber Axe,6,Auric Spike Armor,Rune of Pluto,66 percent,Darkness,Black,Chad Bro,Golden Jaguar,Shield of the Skull,346,11,https://portal.forgottenrunes.com/api/warriors/img/346,Nitro Doom of the Sun
4,Giant Cleaver,6,Majestic Epic Gear,Rune of Steel,66 percent,Armor,Green,Green Knight Helm,Spectacled Falcon,Brown Kite,347,11,https://portal.forgottenrunes.com/api/warriors/img/347,Edwin Exterminator of the Obelisk
4,Spiked Ball and Chain,5,Purple Road Warrior,Rune of Steel,80 percent,Spike,Green,Ether Horn Helm,Mutant Snapping Turtle,,348,10,https://portal.forgottenrunes.com/api/warriors/img/348,Forneus Masher of Goblin Town
2,Bush Spear,4,Equatorial Keikogi,Rune of Uranus,50 percent,Verdant,Green,Templar,,,349,9,https://portal.forgottenrunes.com/api/warriors/img/349,Philip Champion of Power
3,Amaryllis Fey Sword,6,Banded Armor of the Forest,Rune of Cinnabar,50 percent,Verdant,Green,Furgnome Marauder,Black Goat,Shield of Blood Skull,350,11,https://portal.forgottenrunes.com/api/warriors/img/350,Enki Carver of Monsters
3,Aurelian Double Blade,5,Commando Fatigues,Rune of Fire,60 percent,Verdant,Green,Earth Guard,Mutant Snapping Turtle,,351,10,https://portal.forgottenrunes.com/api/warriors/img/351,Chuck Guardian of the Duck Alliance
2,Bottle of Rune Beer,4,Street Hoodlum,Rune of Water,50 percent,Purple Haze,Black,Ether Horn Helm,,,352,9,https://portal.forgottenrunes.com/api/warriors/img/352,Orion of the Road
4,Amber Dragon Sword,6,Nord Armor,Rune of Uranus,66 percent,Blue Shift,Blue,Kelt,Magpie,Blue Kite,353,11,https://portal.forgottenrunes.com/api/warriors/img/353,Sherry Attacker of Honor
2,Bo Staff,4,Argyropoeia Bot,Rune of Fire,50 percent,Cyber,Black,Metabot,,,354,9,https://portal.forgottenrunes.com/api/warriors/img/354,Waldo Opponent of Runes
4,Red Broadsword,6,Exalted Epic Gear,Rune of Pluto,66 percent,Crimson,Red,Praetorian,Old World Mandrill,Yellow Buckler,355,11,https://portal.forgottenrunes.com/api/warriors/img/355,Ajax Combatant of the Duck Alliance
4,Red Bomb,5,Street Hoodlum,Rune of Neptune,80 percent,Machine,Black,Forgotten Man,Robo Dog,,356,10,https://portal.forgottenrunes.com/api/warriors/img/356,Bronco Razer of Kobolds
4,Red Longsword,6,Kobold Road Warrior,Rune of Jupiter,66 percent,Crimson,Black,Kobold Captain,Onyx Panther,Tate Shield,357,11,https://portal.forgottenrunes.com/api/warriors/img/357,Knutz Sorrow of Rogues
4,Titan Cleaver,6,Armor of Water,Rune of Earth,66 percent,Crimson,Red,Oni Girl,Field Hound,Shield of the Sun,358,11,https://portal.forgottenrunes.com/api/warriors/img/358,Shizu Executor of the Road
3,Skull Spear,6,Blue Tunic Armor,Rune of Saturn,50 percent,Gladiator,Blue,Jarl Raider,Gigas Hornet,Iron Buckler,359,11,https://portal.forgottenrunes.com/api/warriors/img/359,Javier Vanquisher of the Guild
4,Flame Thrower,6,Gladiator's Cloak with Green Briefs,Rune of Sun,66 percent,Crimson,Green,Stratiotai,Spectacled Falcon,Brown Kite,360,11,https://portal.forgottenrunes.com/api/warriors/img/360,Sami Cauterizer of the Desert
3,Plains Boomerang,5,White Dominatrix Gear,Rune of Sun,60 percent,Purple Haze,Purple,Valkyrie,Null Goat,,361,10,https://portal.forgottenrunes.com/api/warriors/img/361,Antonia Champion of the Bloodfalls
3,Chakram,4,Green Medieval Livery,,75 percent,Medieval,Blue,Elder,,Shield of Up Only,362,9,https://portal.forgottenrunes.com/api/warriors/img/362,Nolan Champion of Runes
3,Bottle of Goblin Beer,6,Skylord Plate Armor,Rune of Mercury,50 percent,Brute,Blue,Brigand,Woodland Wolverine,Shield of Up Only,363,11,https://portal.forgottenrunes.com/api/warriors/img/363,Jeremy of the Tower
3,Silver Poleaxe,5,Blue Boxing Shorts,Rune of Brimstone,60 percent,Blue Shift,Blue,Blue Knight Helm,Mutant Snapping Turtle,,364,10,https://portal.forgottenrunes.com/api/warriors/img/364,Matthew Guardian of Mount Titan
4,Sol Sword,6,Omega Plate Armor,Rune of Neptune,66 percent,Blue Shift,Blue,Guardian Helm,Ultramarine Rhinoceros Beetle,Might Shield,365,11,https://portal.forgottenrunes.com/api/warriors/img/365,Richard Danger of the Range
4,Green Longsword,6,Green Tunic Armor,Rune of Sigma,66 percent,Verdant,Green,Zimbala,Night Wolf,Green Kite,366,11,https://portal.forgottenrunes.com/api/warriors/img/366,Bongani Executor of Cataclysm
3,Golden Sword,6,Brown Hedge Knight Armor,Rune of Fire,50 percent,Medieval,Black,Purple Viking Helm,Wild Eagle,White Holy Shield,367,11,https://portal.forgottenrunes.com/api/warriors/img/367,Gaelin Wounder of Nothing
2,Pantheon Spear,6,Green Amazonian Jumpsuit,Rune of Brimstone,33 percent,Brownish,Green,Woodlander,Woodland Wolverine,Wolf Shield,368,11,https://portal.forgottenrunes.com/api/warriors/img/368,Adira Impaler of Cataclysm
3,Yellow Chainsaw,6,Gladiator's Cloak with Purple Briefs,Rune of Venus,50 percent,Gladiator,Green,Green Knight Helm,Robo Dog,Horseshoe Shield,369,11,https://portal.forgottenrunes.com/api/warriors/img/369,Allan Horror of the Obelisk
3,Battle Axe,6,Green One Piece,Rune of Cinnabar,50 percent,Brownish,Green,Lady of the Oasis,Wild Eagle,Shield of the Moon,370,11,https://portal.forgottenrunes.com/api/warriors/img/370,Sandy Guillotiner of the Tower
2,Crowbar,6,Nord Armor,Rune of Sun,33 percent,Fur,Blue,Hibernian,Mutant Snapping Turtle,White Holy Shield,371,11,https://portal.forgottenrunes.com/api/warriors/img/371,Bambam Mauler of Nothing
4,Master Claymore,4,Dark Ronin Armor,,100 percent,Armor,Blue,Elder,,Green Buckler,372,9,https://portal.forgottenrunes.com/api/warriors/img/372,Barad Hero of the Forest
3,Scimitar,5,North Woodland Cloak,Rune of Brimstone,60 percent,Feminine,Blue,Archipelagian,,Snake Shield,373,10,https://portal.forgottenrunes.com/api/warriors/img/373,Ekene Slicer of Furgnomes
4,Blue Longsword,5,Street Hoodlum,Rune of Mars,80 percent,Blue Shift,Blue,Shutter Knight,Harpy Eagle,,374,10,https://portal.forgottenrunes.com/api/warriors/img/374,Richard Obliterator of the Back Alley
5,Scimitar,6,White One Piece,Rune of Sun,83 percent,Desert,Green,Forgotten Lady,Rattlesnake,Green Buckler,375,11,https://portal.forgottenrunes.com/api/warriors/img/375,Judy Fiend of Glory
3,Hambone,5,Woodland Armor,Rune of Brass,60 percent,Armor,Blue,Bambam,,Tate Shield,376,10,https://portal.forgottenrunes.com/api/warriors/img/376,Isabella of the Fey
4,Blue Broadsword,6,Yellow Provocator Garb,Rune of Venus,66 percent,Gladiator,Blue,Jarl Raider,Gigas Hornet,Frog Shield,377,11,https://portal.forgottenrunes.com/api/warriors/img/377,Holt Dismantler of the Sun
3,Giant Cleaver,5,South Island MMA Pants,Rune of Uranus,60 percent,Blackness,Black,Motor Assassin,Black Goat,,378,10,https://portal.forgottenrunes.com/api/warriors/img/378,Charlie Death of the Good Luck Squad
3,Tuck,6,Green Hedge Knight Armor,Rune of Jupiter,50 percent,Heavy,Black,Metabot,Mutant Snapping Turtle,Mushroom Shield,379,11,https://portal.forgottenrunes.com/api/warriors/img/379,Angel Crook of Flowers
3,Spiked Ball and Chain,5,Green Medieval Livery,Rune of Uranus,60 percent,Heavy,Black,Contender Helm,,Wooden Buckler,380,10,https://portal.forgottenrunes.com/api/warriors/img/380,Mrfran Belligerent of the Wild
3,Spiked Ball and Chain,5,Desert Wear,Rune of Cinnabar,60 percent,Gold,Green,Meriotic Warrior,,Shield of the Moon,381,10,https://portal.forgottenrunes.com/api/warriors/img/381,Kofi Defeater of the Jungle
4,Mace,6,Armor of Fire,Rune of Mercury,66 percent,Purple Haze,Purple,Purple Dwarven Helm,Null Goat,White Holy Shield,382,11,https://portal.forgottenrunes.com/api/warriors/img/382,Lorthar Debilitator of the Arena
3,Blue Broadsword,5,Sakura Dress,Rune of Jupiter,60 percent,Blue Shift,Blue,Corsair,Hyena,,383,10,https://portal.forgottenrunes.com/api/warriors/img/383,Hilda Marauder of Dragons
3,Blue Shortsword,6,Red Macho Pants,Rune of Air,50 percent,Armor,Black,Lycan Warrior,Hyena,White Kite,384,11,https://portal.forgottenrunes.com/api/warriors/img/384,Justice Vanquisher of the Ruins
2,Longbow,4,Orange Road Warrior,,50 percent,Horror,Black,Olive Mendicant,Woodland Wolverine,,385,9,https://portal.forgottenrunes.com/api/warriors/img/385,Hakim Rapscallion of the Citadel
